GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuantumComputingLib,com.ars.qubits,QubitPlus,0,19,0,0,0,2,0,1,0,1
QuantumComputingLib,com.ars.qubits,QubitMinus,0,19,0,0,0,2,0,1,0,1
QuantumComputingLib,com.ars.qubits,QubitZero,0,13,0,0,0,2,0,1,0,1
QuantumComputingLib,com.ars.qubits,QubitOne,0,13,0,0,0,2,0,1,0,1
QuantumComputingLib,com.ars.qubits,Qubit,18,144,4,12,4,29,4,11,1,6
QuantumComputingLib,com.ars.gates,GateFactory.new Object() {...},4,29,0,0,0,1,0,1,0,1
QuantumComputingLib,com.ars.gates,ZGate,0,37,0,0,0,4,0,3,0,3
QuantumComputingLib,com.ars.gates,XGate,0,37,0,0,0,4,0,3,0,3
QuantumComputingLib,com.ars.gates,GatesAbstractFactory,0,3,0,0,0,1,0,1,0,1
QuantumComputingLib,com.ars.gates,GateProducer,3,4,0,0,1,1,1,1,1,1
QuantumComputingLib,com.ars.gates,HGate,0,48,0,0,0,5,0,3,0,3
QuantumComputingLib,com.ars.gates,CNotGate,0,95,0,0,0,4,0,3,0,3
QuantumComputingLib,com.ars.gates,EGateTypes,5,53,0,0,0,5,1,3,1,3
QuantumComputingLib,com.ars.gates,GateFactory,0,31,1,4,0,11,1,5,0,2
QuantumComputingLib,com.ars.quantum.utils,QuantumOperations,65,306,7,23,15,60,8,25,3,15
QuantumComputingLib,com.ars.quantum.utils,MatrixOperations,3,827,6,94,1,144,7,58,1,14
